source,classification,ID,Species,Culture collection number,Isolation source,Country,Continent,Category 1,Category 2,Category 3
bacdive,Exiguobacterium,18116,,,,,,#Environmental,#Terrestrial,#Core sample
bacdive,Exiguobacterium,154027,Exiguobacterium sibiricum,CCUG 52046 B,"Human blood,78-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Exiguobacterium,154027,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Exiguobacterium,154027,,,,,,#Host,#Human,#Male
bacdive,Exiguobacterium,18120,Exiguobacterium soli,"DSM 22015, JCM 14376, MTCC 4816, DVS 3Y",Moraine sample from the McMurdo Dry Valleys###Moraine sample,Antarctica,Antarctica###Australia and Oceania,#Environmental,#Terrestrial,#Glacier
bacdive,Exiguobacterium,7551,Exiguobacterium sp.,"DSM 20121, ATCC 13717, NCIB 8991",butter,,,#Engineered,#Food production,#Dairy product
bacdive,Exiguobacterium,18112,Exiguobacterium sp.,DSM 17349,marine sediment,Palau,Australia and Oceania,#Environmental,#Aquatic,#Sediment
bacdive,Exiguobacterium,18112,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Exiguobacterium,18113,Exiguobacterium sp.,DSM 17357,marine sediment,Palau,Australia and Oceania,#Environmental,#Aquatic,#Sediment
bacdive,Exiguobacterium,18113,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Exiguobacterium,18114,Exiguobacterium sp.,DSM 17423,marine sediment,Palau,Australia and Oceania,#Environmental,#Aquatic,#Sediment
bacdive,Exiguobacterium,18114,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Exiguobacterium,24780,Exiguobacterium sp.,DSM 16426,culture of acetogenic bacteria,Denmark,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Exiguobacterium,24780,,,,,,#Host,#Microbial,#Bacteria
bacdive,Exiguobacterium,24780,,,,,,#Engineered,#Laboratory,#Lab enrichment
bacdive,Exiguobacterium,24781,Exiguobacterium himgiriensis,"DSM 27935, JCM 14260, MTCC 7628","Soil, 45 cm below an ice glacier, 4,200 m above sea level###soil. 45 cm below an ice glacier, 4.200m above sea level",India,Asia,#Environmental,#Terrestrial,#Soil
bacdive,Exiguobacterium,24781,,,,,,#Environmental,#Terrestrial,#Glacier
bacdive,Exiguobacterium,131701,Exiguobacterium sp.,DSM 102603,"leaf of <i>Arabidopsis thaliana</i>, wild-type genotype",Switzerland,Europe,#Host Body-Site,#Plant,#Leaf (Phyllosphere)
bacdive,Exiguobacterium,131701,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Exiguobacterium,131702,Exiguobacterium sp.,DSM 102604,"leaf of <i>Arabidopsis thaliana</i>, wild-type genotype",Switzerland,Europe,#Host Body-Site,#Plant,#Leaf (Phyllosphere)
bacdive,Exiguobacterium,131702,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Exiguobacterium,139889,Exiguobacterium sp.,DSM 17889,seasand,Republic of Korea,Asia,#Environmental,#Terrestrial,#Sandy
bacdive,Exiguobacterium,139889,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Exiguobacterium,139890,Exiguobacterium sp.,DSM 18419,Cedar spring,USA,North America,#Environmental,#Aquatic,#Spring
bacdive,Exiguobacterium,145137,Exiguobacterium sp.,CCUG 27733,Tobacco,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Exiguobacterium,145137,,,,,,#Engineered,#Industrial,#Engineered product
bacdive,Exiguobacterium,148744,Exiguobacterium sp.,CCUG 35890,"Human cerebrospinal fluid,54-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Exiguobacterium,148744,,,,,,#Host Body Product,#Fluids,#Cerebrospinal fluid
bacdive,Exiguobacterium,148744,,,,,,#Host,#Human,#Female
bacdive,Exiguobacterium,149156,Exiguobacterium sp.,CCUG 36961,Clay,Sweden,Europe,#Environmental,#Terrestrial,#Soil
bacdive,Exiguobacterium,149157,Exiguobacterium sp.,CCUG 36962,Clay,Sweden,Europe,#Environmental,#Terrestrial,#Soil
bacdive,Exiguobacterium,149251,Exiguobacterium sp.,CCUG 37343,"Industry pipeline,cleaning in place with NaOH",Sweden,Europe,#Engineered,#Industrial,#Industrial production
bacdive,Exiguobacterium,149251,,,,,,#Engineered,#Built environment,
bacdive,Exiguobacterium,149261,Exiguobacterium sp.,CCUG 37367,"Water,paper mill",Sweden,Europe,#Environmental,#Aquatic,
bacdive,Exiguobacterium,149261,,,,,,#Engineered,#Industrial,#Plant (Factory)
bacdive,Exiguobacterium,150187,Exiguobacterium sp.,CCUG 39224,"Water,paper mill process",Sweden,Europe,#Environmental,#Aquatic,
bacdive,Exiguobacterium,150187,,,,,,#Engineered,#Industrial,#Industrial production
bacdive,Exiguobacterium,155262,Exiguobacterium sp.,CCUG 57136,"Human blood,94-yr-old man,fever,chills,cyanosis",Sweden,Europe,#Infection,#Patient,
bacdive,Exiguobacterium,155262,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Exiguobacterium,155262,,,,,,#Host,#Human,#Male
bacdive,Exiguobacterium,155916,Exiguobacterium sp.,CCUG 59638,"Environment,industry",Sweden,Europe,#Engineered,#Industrial,
bacdive,Exiguobacterium,18108,Exiguobacterium undae,"CCUG 47136, DSM 14481, CIP 107162, KCTC 3810",From garden pond###garden pond,Germany,Europe,#Environmental,#Aquatic,#Pond (small)
bacdive,Exiguobacterium,18108,,,,,,#Engineered,#Agriculture,#Garden
bacdive,Exiguobacterium,18109,Exiguobacterium undae,DSM 14482,garden pond,Germany,Europe,#Environmental,#Aquatic,#Pond (small)
bacdive,Exiguobacterium,18109,,,,,,#Engineered,#Agriculture,#Garden
bacdive,Exiguobacterium,152720,Exiguobacterium undae,CCUG 47471 A,Industry,Sweden,Europe,#Engineered,#Industrial,
bacdive,Proteus,158717,Proteus alimentorum,"CGMCC 1.15939, DSM 104685",Food (Pork)###food samples in Ma'anshan city,China,Asia,#Engineered,#Food production,#Food
bacdive,Proteus,132975,Proteus terrae subsp. cibarius,"DSM 100173, JCM 30699, KACC 18404","Korean fermented seafood, Jeotgal###Jeotgal (Korean traditional fermented seafood)",Republic of Korea,Asia,#Engineered,#Food production,#Fermented
bacdive,Proteus,132975,,,,,,#Engineered,#Food production,#Seafood
bacdive,Proteus,158686,Proteus columbae,"DSM 104686, CGMCC 1.15982",Food (Pigeon)###the flesh of a pigeon in Ma'anshan,China,Asia,#Host,#Birds,
bacdive,Proteus,5072,Proteus hauseri,"DSM 14437, ATCC 700826, CDC 1732-80, CCUG 35386",human,USA,North America,#Host,#Human,
bacdive,Proteus,154859,Proteus hauseri,CCUG 55437,"Human urine,75-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Proteus,154859,,,,,,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,154859,,,,,,#Host,#Human,#Male
bacdive,Proteus,5062,Proteus mirabilis,"DSM 30116, WS 10039",urogenital tract of pig,,,#Host Body-Site,#Urogenital tract,
bacdive,Proteus,5062,,,,,,#Host,#Mammals,"#Suidae (Pig,Swine)"
bacdive,Proteus,130994,Proteus mirabilis,DSM 28629,caecal content; wildtype C57BL/6 mouse,Germany,Europe,#Host Body Product,#Gastrointestinal tract,#Caecal content
bacdive,Proteus,130994,,,,,,#Host Body-Site,#Gastrointestinal tract,#Large intestine
bacdive,Proteus,130994,,,,,,#Host,#Mammals,#Muridae (Mouse/Rat)
bacdive,Proteus,131879,Proteus mirabilis,DSM 102258,mutant of PG VI (DSM 102257),,,#Host,#Microbial,#Bacteria
bacdive,Proteus,141192,Proteus mirabilis,CCUG 138,"Human urine,12-yr-old boy",Sweden,Europe,#Host,#Human,#Male
bacdive,Proteus,141192,,,,,,#Infection,#Patient,
bacdive,Proteus,141192,,,,,,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,141192,,,,,,#Host,#Human,#Child
bacdive,Proteus,143412,Proteus mirabilis,CCUG 19004,Human feces,Denmark,Europe,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,143412,,,,,,#Host,#Human,
bacdive,Proteus,143413,Proteus mirabilis,CCUG 19011,Human feces,Denmark,Europe,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,143413,,,,,,#Host,#Human,
bacdive,Proteus,143414,Proteus mirabilis,CCUG 19016,Human feces,Denmark,Europe,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,143414,,,,,,#Host,#Human,
bacdive,Proteus,144509,Proteus mirabilis,CCUG 25418,Human urine,Sweden,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,144509,,,,,,#Host,#Human,
bacdive,Proteus,147577,Proteus mirabilis,CCUG 33828,Human urine,Sweden,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,147577,,,,,,#Host,#Human,
bacdive,Proteus,147821,Proteus mirabilis,"CCUG 34294, NCDC 2059-70, ATCC 25933",Human vagina,USA,North America,#Host,#Human,#Female
bacdive,Proteus,147821,,,,,,#Host Body-Site,#Urogenital tract,#Vagina
bacdive,Proteus,149015,Proteus mirabilis,CCUG 36728,Rat lung,Sweden,Europe,#Host Body-Site,#Oral cavity and airways,#Lung
bacdive,Proteus,149015,,,,,,#Host,#Mammals,#Muridae (Mouse/Rat)
bacdive,Proteus,149086,Proteus mirabilis,CCUG 36839,"Human,exact source lost",Sweden,Europe,#Infection,#Patient,
bacdive,Proteus,149086,,,,,,#Host,#Human,
bacdive,Proteus,150125,Proteus mirabilis,CCUG 39049,Human urine,Sweden,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,150125,,,,,,#Host,#Human,
bacdive,Proteus,153329,Proteus mirabilis,CCUG 49244,Human clinical sample,Sweden,Europe,#Infection,#Patient,
bacdive,Proteus,153329,,,,,,#Host,#Human,
bacdive,Proteus,156661,Proteus mirabilis,CCUG 63961,"Human urine,5-yr-old boy",Sweden,Europe,#Host,#Human,#Female
bacdive,Proteus,156661,,,,,,#Infection,#Patient,
bacdive,Proteus,156661,,,,,,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,156661,,,,,,#Host,#Human,#Child
bacdive,Proteus,5065,Proteus penneri,"DSM 4544, ATCC 33519, CCUG 15722, CECT 864, NCTC 12737, CDC 1808-73, JCM 3948, BCRC 14123, CIP 103030, LMG 7877, NBRC 105705, NCIMB 12597",urine,,,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,144519,Proteus penneri,CCUG 25463,Human urine,Sweden,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,144519,,,,,,#Host,#Human,
bacdive,Proteus,144790,Proteus penneri,CCUG 26555,Human feces,Sweden,Europe,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,144790,,,,,,#Host,#Human,
bacdive,Proteus,147312,Proteus penneri,CCUG 33352,Human urine,Sweden,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,147312,,,,,,#Host,#Human,
bacdive,Proteus,149549,Proteus penneri,CCUG 37944,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Proteus,149549,,,,,,#Host,#Human,
bacdive,Proteus,156147,Proteus penneri,CCUG 60543,"Human urine,68-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Proteus,156147,,,,,,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,156147,,,,,,#Host,#Human,#Male
bacdive,Proteus,147674,Providencia rettgeri,"CCUG 33987, NCTC 7475",Human feces,,,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,147674,,,,,,#Host,#Human,
bacdive,Proteus,5071,Proteus sp.,"DSM 30119, WS 10284",faeces,,,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,151767,Proteus sp.,CCUG 44817,"Cheese,not pasteurised (opast. mjölk, Langres)",,,#Engineered,#Food production,#Dairy product
bacdive,Proteus,132425,Proteus terrae,"DSM 29910, LMG 28659",fen peat soil of a nitrogen fertilization long-term experiment,Germany,Europe,#Environmental,#Terrestrial,#Wetland (Swamp)
bacdive,Proteus,132425,,,,,,#Environmental,#Terrestrial,#Soil
bacdive,Proteus,132425,,,,,,#Engineered,#Agriculture,
bacdive,Proteus,5066,Proteus vulgaris,"DSM 2140, ATCC 8427",inner ear infection,,,#Host Body-Site,#Organ,#Ear
bacdive,Proteus,5066,,,,,,#Infection,#Disease,
bacdive,Proteus,5068,Proteus vulgaris,"DSM 13625, IMI 358534",polyuretane?###polyurethane,,,#Engineered,#Industrial,#Engineered product
bacdive,Proteus,131880,Proteus vulgaris,DSM 103498,urine,Germany,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,141245,Proteus vulgaris,CCUG 376,Human wound,Sweden,Europe,#Host Body-Site,#Other,#Wound
bacdive,Proteus,141245,,,,,,#Host,#Human,
bacdive,Proteus,141681,Proteus vulgaris,"CCUG 4678, CCUG 19034",Pus,,,#Host Body Product,#Fluids,
bacdive,Proteus,141682,Proteus vulgaris,"CCUG 4679, CCUG 2150",Feces,,,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,141683,Proteus vulgaris,"CCUG 4682, CCUG 19037",Feces,,,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,143410,Proteus vulgaris,CCUG 18984,Human feces,Denmark,Europe,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,143410,,,,,,#Host,#Human,
bacdive,Proteus,143411,Proteus vulgaris,CCUG 18986,Human feces,Denmark,Europe,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,143411,,,,,,#Host,#Human,
bacdive,Proteus,143415,Proteus vulgaris,CCUG 19017,Human feces,Denmark,Europe,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,143415,,,,,,#Host,#Human,
bacdive,Proteus,143416,Proteus vulgaris,"CCUG 19036, CCUG 4681",Faeces,,,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Proteus,146586,Proteus vulgaris,CCUG 31523,Human ear,Sweden,Europe,#Host Body-Site,#Organ,#Ear
bacdive,Proteus,146586,,,,,,#Host,#Human,
bacdive,Proteus,148403,Proteus vulgaris,"CCUG 35381, ATCC 51471",Human urine,United Kingdom,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,148403,,,,,,#Host,#Human,
bacdive,Proteus,148404,Proteus vulgaris,"CCUG 35384, ATCC 51469",Human urine,United Kingdom,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,148404,,,,,,#Host,#Human,
bacdive,Proteus,148405,Proteus vulgaris,"CCUG 35385, ATCC 51470",Human urine,,,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,148405,,,,,,#Host,#Human,
bacdive,Proteus,150580,Proteus vulgaris,CCUG 41652,Human urine,Sweden,Europe,#Host Body Product,#Fluids,#Urine
bacdive,Proteus,150580,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,22982,Adlercreutzia caecicola,"DSM 22242, CCUG 57646, KCTC 15365","From cecal content of a male TNF^deltaARE^ C57BL/6 mouse###Mouse cecal content,male TNFdeltaARE###cecal content of a male TNF<sup>deltaARE</sup> C57BL/6  mouse",Germany,Europe,#Host Body Product,#Gastrointestinal tract,#Caecal content
bacdive,Eggerthellaceae,22982,,,,,,#Host,#Mammals,#Muridae (Mouse/Rat)
bacdive,Eggerthellaceae,3077,Adlercreutzia caecimuris,"DSM 21839, CCUG 56815",Mouse intestine###cecum of mouse model of spontaneous colitis  (C3H/HeJBir mouse),USA,North America,#Host Body-Site,#Gastrointestinal tract,#Large intestine
bacdive,Eggerthellaceae,3077,,,,,,#Host,#Mammals,#Muridae (Mouse/Rat)
bacdive,Eggerthellaceae,3077,,,,,,#Infection,#Inflammation,
bacdive,Eggerthellaceae,3072,Adlercreutzia equolifaciens subsp. celatus,"DSM 18785, JCM 14811, AHU 1763, KCTC 15587",Rat cecum###rat caecum,Japan,Asia,#Host Body-Site,#Gastrointestinal tract,
bacdive,Eggerthellaceae,3072,,,,,,#Host,#Mammals,#Muridae (Mouse/Rat)
bacdive,Eggerthellaceae,3073,Adlercreutzia equolifaciens,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235","From human feces###Human feces###Human feces,25-yr-old healthy woman###human faeces",Japan,Asia,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Eggerthellaceae,3073,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,3076,Adlercreutzia mucosicola,"DSM 19490, CCUG 54980",Mouse ileal tissue (TNFdeltaARE mouse)###ileal mucosa of a 12-week-old female TNF<sup>deltaARE</sup> mouse,Germany,Europe,#Host Body-Site,#Gastrointestinal tract,#Small intestine
bacdive,Eggerthellaceae,3076,,,,,,#Host,#Mammals,#Muridae (Mouse/Rat)
bacdive,Eggerthellaceae,131531,Adlercreutzia muris,"DSM 29508, KCTC 15543","From colonic content, wildtype C57BL/6 mouse###colonic content; wildtype C57BL/6 mouse",Germany,Europe,#Host Body-Site,#Gastrointestinal tract,#Large intestine
bacdive,Eggerthellaceae,131531,,,,,,#Host,#Mammals,#Muridae (Mouse/Rat)
bacdive,Eggerthellaceae,159448,Berryella intestinalis,"DSM 104960, JCM 34389",Ileal content of a pig in Ames###intestinal tract (ileal lumen) of a three month-old healthy pig,USA,North America,#Host Body-Site,#Gastrointestinal tract,
bacdive,Eggerthellaceae,159448,,,,,,#Host,#Mammals,"#Suidae (Pig,Swine)"
bacdive,Eggerthellaceae,3053,Cryptobacterium curtum,"DSM 15641, ATCC 700683, CCUG 55773","Human periodontal pocket,adult,periodontal disease###human periodontal pocket sample (oral cavities)###peridontal pocket of an adult with peridontal disease",Japan,Asia,#Host Body-Site,#Oral cavity and airways,#Periodontal pocket
bacdive,Eggerthellaceae,3053,,,,,,#Infection,#Inflammation,
bacdive,Eggerthellaceae,3053,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,151901,Cryptobacterium curtum,CCUG 45151 B,"Human blood,71-yr-old patient",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,151901,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,151901,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,3069,Denitrobacterium detoxificans,"DSM 21825, ATCC 700549, CCUG 56743",bovine rumen contents,USA,North America,#Host Body-Site,#Organ,#Rumen
bacdive,Eggerthellaceae,3069,,,,,,#Host,#Mammals,"#Bovinae (Cow, Cattle)"
bacdive,Eggerthellaceae,3070,Denitrobacterium detoxificans,"DSM 21843, ATCC 700546, CCUG 56741",bovine rumen contents,USA,North America,#Host Body-Site,#Organ,#Rumen
bacdive,Eggerthellaceae,3070,,,,,,#Host,#Mammals,"#Bovinae (Cow, Cattle)"
bacdive,Eggerthellaceae,3071,Denitrobacterium detoxificans,"DSM 21845, ATCC 700547, CCUG 56742",bovine rumen contents,USA,North America,#Host Body-Site,#Organ,#Rumen
bacdive,Eggerthellaceae,3071,,,,,,#Host,#Mammals,"#Bovinae (Cow, Cattle)"
bacdive,Eggerthellaceae,3054,Eggerthella lenta,"CCUG 17323 A, DSM 2243, ATCC 25559, VPI 0255, JCM 9979, CCUG 17323, CIP 106637, KCTC 3265, NCTC 11813, VTT E-001735",Human rectal tumor###rectal tumor,,,#Host Body-Site,#Gastrointestinal tract,#Rectum
bacdive,Eggerthellaceae,3055,Eggerthella lenta,"DSM 15644, ATCC 43055, CCUG 34779, CIP 104211, CCM 4714","Human wound,abdominal###abdominal wound",USA,North America,#Host Body-Site,#Other,#Wound
bacdive,Eggerthellaceae,3055,,,,,,#Host Body-Site,#Other,#Abdomen
bacdive,Eggerthellaceae,147535,Eggerthella lenta,CCUG 33760,"Human abscess,66-yr-old man,abdomen",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,147535,,,,,,#Host Body-Site,#Other,#Abscess
bacdive,Eggerthellaceae,147535,,,,,,#Host Body-Site,#Other,#Abdomen
bacdive,Eggerthellaceae,147535,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,148972,Eggerthella lenta,CCUG 36662,Human oral abscess,Sweden,Europe,#Host Body-Site,#Oral cavity and airways,#Mouth
bacdive,Eggerthellaceae,148972,,,,,,#Infection,#Patient,
bacdive,Eggerthellaceae,148972,,,,,,#Host Body-Site,#Other,#Abscess
bacdive,Eggerthellaceae,148972,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,150615,Eggerthella lenta,CCUG 41760,"Human blood,chills",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,150615,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,150615,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,151045,Eggerthella lenta,CCUG 43153,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,151045,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,151060,Eggerthella lenta,CCUG 43187,"Human blood,cancer recti",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,151060,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,151060,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,151298,Eggerthella lenta,CCUG 43682,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,151298,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,151956,Eggerthella lenta,CCUG 45342 C,"Human blood,colon cancer",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,151956,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,151956,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,152022,Eggerthella lenta,CCUG 45577 A,"Human blood,fever,chills",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,152022,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,152022,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,152098,Eggerthella lenta,CCUG 45737,Human abscess,Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,152098,,,,,,#Host Body-Site,#Other,#Abscess
bacdive,Eggerthellaceae,152098,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,152100,Eggerthella lenta,CCUG 45762,Human blood,Norway,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,152100,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,152218,Eggerthella lenta,CCUG 46141,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,152218,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,152391,Eggerthella lenta,CCUG 46647,"Human gland,throat,3-yr-old boy",Sweden,Europe,#Host,#Human,#Child
bacdive,Eggerthellaceae,152391,,,,,,#Infection,#Patient,
bacdive,Eggerthellaceae,152391,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,152419,Eggerthella lenta,CCUG 46751,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,152419,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,152542,Eggerthella lenta,CCUG 47030,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,152542,,,,,,#Host,#Human,
bacdive,Eggerthellaceae,153093,Eggerthella lenta,CCUG 48467,"Human blood,63-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,153093,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,153093,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,153207,Eggerthella lenta,CCUG 48755,"Human blood,89-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,153207,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,153207,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,153218,Eggerthella lenta,CCUG 48783,"Human blood,58-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,153218,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,153218,,,,,,#Host,#Human,#Female
bacdive,Eggerthellaceae,153311,Eggerthella lenta,CCUG 49066,"Human blood,51-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,153311,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,153311,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,153520,Eggerthella lenta,CCUG 50030,"Human blood,64-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,153520,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,153520,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,153880,Eggerthella lenta,CCUG 51488,"Human blood,80-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,153880,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,153880,,,,,,#Host,#Human,#Female
bacdive,Eggerthellaceae,153951,Eggerthella lenta,CCUG 51738,"Human blood,70-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,153951,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,153951,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,154043,Eggerthella lenta,CCUG 52118,"Human blood,82-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,154043,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,154043,,,,,,#Host,#Human,#Female
bacdive,Eggerthellaceae,154480,Eggerthella lenta,CCUG 53778,"Human blood,67-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,154480,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,154480,,,,,,#Host,#Human,#Female
bacdive,Eggerthellaceae,154600,Eggerthella lenta,CCUG 54550,"Human blood,66-yr-old man,endocarditis",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,154600,,,,,,#Infection,#Inflammation,
bacdive,Eggerthellaceae,154600,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,154600,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,154638,Eggerthella lenta,CCUG 54678,"Human blood,87-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,154638,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,154638,,,,,,#Host,#Human,#Female
bacdive,Eggerthellaceae,154649,Eggerthella lenta,CCUG 54751,"Human blood,80-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,154649,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,154649,,,,,,#Host,#Human,#Male
bacdive,Eggerthellaceae,154730,Eggerthella lenta,CCUG 55004,"Human blood,76-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,154730,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,154730,,,,,,#Host,#Human,#Female
bacdive,Eggerthellaceae,155569,Eggerthella lenta,CCUG 58169,"Human blood,73-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,155569,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Eggerthellaceae,155569,,,,,,#Host,#Human,#Female
bacdive,Eggerthellaceae,155751,Eggerthella lenta,CCUG 59206,"Human blood,71-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Eggerthellaceae,155751,,,,,,#Host Body Product,#Fluids,#Blood
